resolution,size,Image Transmission (ms),Total Round-Trip Latency (ms),Distance at 0.5 m/s (m),Distance at 1 m/s (m),Distance at 2 m/s (m),Distance at 4 m/s (m),Distance at 6 m/s (m),Distance at 8 m/s (m),network_condition
240p,426x240,81.1,88.036,0.044018,0.088036,0.176072,0.352144,0.528216,0.704288,full
360p,640x360,69.3,76.23599999999999,0.03811799999999999,0.07623599999999998,0.15247199999999997,0.30494399999999994,0.45741599999999993,0.6098879999999999,full
480p,854x480,75.7,82.636,0.041318,0.082636,0.165272,0.330544,0.495816,0.661088,full
720p,1280x720,135.3,142.23600000000002,0.07111800000000001,0.14223600000000003,0.28447200000000006,0.5689440000000001,0.8534160000000002,1.1378880000000002,full
1080p,1920x1080,169.7,176.636,0.088318,0.176636,0.353272,0.706544,1.059816,1.413088,full
4K,3840x2160,231.1,238.036,0.119018,0.238036,0.476072,0.952144,1.428216,1.904288,full
240p,426x240,126.60000000000001,130.77504000000002,0.06538752,0.13077504,0.26155008,0.52310016,0.7846502400000002,1.04620032,fast_4g
360p,640x360,303.1,307.27504000000005,0.15363752000000003,0.30727504000000005,0.6145500800000001,1.2291001600000002,1.8436502400000003,2.4582003200000004,fast_4g
480p,854x480,3650.1,3654.27504,1.82713752,3.65427504,7.30855008,14.61710016,21.92565024,29.23420032,fast_4g
1080p,1920x1080,60924.9,60929.07504,30.46453752,60.92907504,121.85815008,243.71630016,365.57445024000003,487.43260032,fast_4g
240p,426x240,11340.4,11350.788096,5.675394048,11.350788096,22.701576192,45.403152384,68.104728576,90.806304768,3g
360p,640x360,14291.6,14301.988096000001,7.150994048,14.301988096,28.603976192,57.207952384,85.811928576,114.415904768,3g
1080p,1920x1080,320993.2,321003.588096,160.50179404800002,321.00358809600004,642.0071761920001,1284.0143523840002,1926.021528576,2568.0287047680004,3g
